algorithm,scenario_id,t,T,x,z,a,B_accept,g_proposals,h_proposals,total_proposals,acceptance_rate,mean_proposals_per_draw,median_proposals_per_draw,B_time,timing_reps,elapsed_median_sec,elapsed_mean_sec,elapsed_sd_sec,sec_per_draw_median,acceptance_seed
3,30,2.9,3.0,1.95,0.05,2.0,2000,493173,0,493173,0.004055372049970294,246.5865,168.5,10000,1,36.06580187499999,36.06580187499999,,0.0036065801874999993,100030
3,31,0.1,3.0,0.05,0.525,2.0,2000,14571,0,14571,0.1372589389884016,7.2855,5.0,10000,1,1.0572616249999953,1.0572616249999953,,0.00010572616249999954,100031
3,32,1.0,3.0,0.05,0.525,2.0,2000,10296,0,10296,0.19425019425019424,5.148,4.0,10000,1,0.9033325409999975,0.9033325409999975,,9.033325409999975e-05,100032
3,33,1.5,3.0,0.05,0.525,2.0,2000,10074,0,10074,0.1985308715505261,5.037,4.0,10000,1,1.7800336250000157,1.7800336250000157,,0.00017800336250000157,100033
3,34,2.0,3.0,0.05,0.525,2.0,2000,8823,0,8823,0.22668026748271564,4.4115,3.0,10000,1,0.9414606659999833,0.9414606659999833,,9.414606659999833e-05,100034
3,35,2.5,3.0,0.05,0.525,2.0,2000,8807,0,8807,0.22709208584080845,4.4035,3.0,10000,1,0.875406125000012,0.875406125000012,,8.75406125000012e-05,100035
3,36,2.9,3.0,0.05,0.525,2.0,2000,9739,0,9739,0.20535989321285553,4.8695,4.0,10000,1,0.6702382080000007,0.6702382080000007,,6.702382080000007e-05,100036
3,37,0.1,3.0,0.525,0.525,2.0,2000,10767,0,10767,0.1857527630723507,5.3835,4.0,10000,1,0.7502507089999995,0.7502507089999995,,7.502507089999995e-05,100037
3,38,1.0,3.0,0.525,0.525,2.0,2000,9928,0,9928,0.20145044319097502,4.964,4.0,10000,1,0.9308313339999756,0.9308313339999756,,9.308313339999757e-05,100038
3,39,1.5,3.0,0.525,0.525,2.0,2000,10218,0,10218,0.19573302016050106,5.109,4.0,10000,1,1.5201480419999882,1.5201480419999882,,0.00015201480419999882,100039
3,40,2.0,3.0,0.525,0.525,2.0,2000,9857,0,9857,0.20290149132596125,4.9285,3.0,10000,1,0.9270210420000069,0.9270210420000069,,9.270210420000069e-05,100040
3,41,2.5,3.0,0.525,0.525,2.0,2000,10091,0,10091,0.19819641264493112,5.0455,4.0,10000,1,0.9272471249999796,0.9272471249999796,,9.272471249999797e-05,100041
3,42,2.9,3.0,0.525,0.525,2.0,2000,10747,0,10747,0.18609844607797524,5.3735,4.0,10000,1,0.7564754580000113,0.7564754580000113,,7.564754580000113e-05,100042
3,43,0.1,3.0,1.0,0.525,2.0,2000,8855,0,8855,0.22586109542631283,4.4275,3.0,10000,1,0.6106454999999755,0.6106454999999755,,6.106454999999756e-05,100043
3,44,1.0,3.0,1.0,0.525,2.0,2000,9654,0,9654,0.20716801325875284,4.827,4.0,10000,1,0.9306609580000043,0.9306609580000043,,9.306609580000043e-05,100044
3,45,1.5,3.0,1.0,0.525,2.0,2000,10040,0,10040,0.199203187250996,5.02,4.0,10000,1,1.9503222920000098,1.9503222920000098,,0.00019503222920000098,100045
