t,y,theory_density,kde_density
0.2,0.0,0.0,0.009152798063346687
0.2,0.005,0.00016967080505602886,0.010781407699841134
0.2,0.01,0.0006785880699575109,0.012617003367344127
0.2,0.015,0.0015264664010296398,0.014672575807979475
0.2,0.02,0.002712830332535564,0.016960482548125568
0.2,0.025,0.004237014612157265,0.01949239449638109
0.2,0.03,0.006098164600467075,0.022279265155165984
0.2,0.035,0.008295236784187598,0.025331313012057547
0.2,0.04,0.010826999402981615,0.028658005201078512
0.2,0.045,0.013692033189452037,0.03226802947546579
0.2,0.05,0.016888732221979393,0.03616924223537082
0.2,0.055,0.02041530488996051,0.04036858294257699
0.2,0.06,0.024269774970957943,0.04487194963562596
0.2,0.065,0.02844998281920905,0.04968403609089953
0.2,0.07,0.03295358666488608,0.05480813788185591
0.2,0.075,0.03777806402343812,0.0602459414050569
0.2,0.08,0.04292071321429134,0.06599731599178688
0.2,0.085,0.04837865498811524,0.07206013362193286
0.2,0.09,0.05414883426181677,0.07843014272143528
0.2,0.095,0.060228021960350805,0.08510092149505981
0.2,0.1,0.06661281696438501,0.09206393198080896
0.2,0.105,0.07329964816279311,0.0993086886566012
0.2,0.11,0.08028477660889079,0.10682304554070461
0.2,0.115,0.08756429777926673,0.1145935942438467
0.2,0.12,0.09513414393400688,0.12260615358984747
0.2,0.125,0.10299008657703483,0.1308463206239093
0.2,0.13,0.1111277390152499,0.13930004446722688
0.2,0.135,0.11954255901506626,0.14795417975324945
0.2,0.14,0.1282298515549001,0.1567969761219701
0.2,0.145,0.13718477167209978,0.16581846476607837
0.2,0.15,0.14640232740273518,0.17501071203070992
0.2,0.155,0.15587738281261618,0.18436792267868787
0.2,0.16,0.16560466111783909,0.19388639023711524
0.2,0.165,0.17557874789310415,0.20356430707274736
0.2,0.17,0.18579409436598082,0.21340146060552057
0.2,0.17500000000000002,0.19624502079524053,0.22339885259220296
0.2,0.18,0.20692571993131068,0.2335582843087649
0.2,0.185,0.21783026055685123,0.24388195093806445
0.2,0.19,0.22895259110537855,0.25437208346226264
0.2,0.195,0.24028654335582256,0.2650306665554136
0.2,0.2,0.25182583620082266,0.2758592477308406
0.2,0.20500000000000002,0.2635640794865212,0.28685883816510815
0.2,0.21,0.27549477792154997,0.29802989126326923
0.2,0.215,0.2876113350528464,0.3093723331394996
0.2,0.22,0.2999070573058776,0.32088561138888916
0.2,0.225,0.3123751580868024,0.33256872584859515
0.2,0.23,0.3250087619440236,0.34442020778134824
0.2,0.23500000000000001,0.33780090878655755,0.356438021592109
0.2,0.24,0.3507445581565662,0.3686193746704079
0.2,0.245,0.36383259355336095,0.3809604346178378
0.2,0.25,0.3770578268061278,0.3934559671296638
0.2,0.255,0.39041300249257493,0.40609892035956113
0.2,0.26,0.40389080240065395,0.4188799912183242
0.2,0.265,0.4174838500304585,0.4317872147403441
0.2,0.27,0.4311847151333518,0.44480561898042525
0.2,0.275,0.4449859182853457,0.4579169850436152
0.2,0.28,0.4588799354916838,0.4710997454550015
0.2,0.28500000000000003,0.47285920281956695,0.4843290451253918
0.2,0.29,0.486916121055905,0.4975769787797887
0.2,0.295,0.5010430603869405,0.510813007959753
0.2,0.3,0.5152323650965595,0.5240045504667622
