path,time,value
1,0.0,0.5
1,0.01,0.673826187439218
1,0.02,0.7101059091279298
1,0.03,0.8082115922536087
1,0.04,0.7753013607261108
1,0.05,0.8892457590578364
1,0.06,0.8170243576552313
1,0.07,0.6282839867615028
1,0.08,0.5224024474816797
1,0.09,0.5357748613676568
1,0.1,0.5007748109706297
1,0.11,0.39421064418709256
1,0.12,0.5369157561078151
1,0.13,0.6212806913652215
1,0.14,0.7868225351086305
1,0.15,0.6931670508212538
1,0.16,0.8599309877083535
1,0.17,0.8273589386783016
1,0.18,0.857360340693226
1,0.19,1.028799597390943
1,0.2,1.125281118695478
1,0.21,0.9949611554626594
1,0.22,1.0384515276699746
1,0.23,1.1283819368962882
1,0.24,1.1556783915817856
1,0.25,1.0542602330464705
1,0.26,1.1019071789158381
1,0.27,1.1652988360273238
1,0.28,1.1476389853828368
1,0.29,1.1614859395653752
1,0.3,1.243779232647422
1,0.31,1.1446292042090067
1,0.32,1.085415135343475
1,0.33,1.267184720023738
1,0.34,1.287490436545609
1,0.35,1.1943148886617045
1,0.36,1.1638823105824787
1,0.37,1.06209595055919
1,0.38,1.074857760724684
1,0.39,1.1144085631166045
1,0.4,1.112550170307017
1,0.41,1.128639674583631
1,0.42,1.0946336815348237
1,0.43,1.0597032142360459
1,0.44,1.0313271337412415
1,0.45,1.1509200362147611
1,0.46,1.080235326148241
1,0.47,1.149445668957958
1,0.48,1.1907843875463076
1,0.49,1.1762714134275698
1,0.5,1.1155814619050426
1,0.51,1.106276535634898
1,0.52,1.0443759076838046
1,0.53,1.0089014536641758
1,0.54,1.0285157072109181
1,0.55,0.8646839152463608
1,0.56,0.8042974492370167
1,0.57,0.8591074379848309
1,0.58,0.8100890751595176
1,0.59,0.6253303841511026
1,0.6,0.6066352144627377
1,0.61,0.41780368584374283
1,0.62,0.5095098168358021
1,0.63,0.7310135563205188
1,0.64,0.7847144831433067
1,0.65,1.0354988942078995
1,0.66,0.951799220280481
1,0.67,0.858697071394275
1,0.68,0.8798205694349588
1,0.69,0.7500877689629423
1,0.7,0.8738776300075914
1,0.71,0.9129830992388549
1,0.72,0.9268107560988645
1,0.73,0.827551354258363
1,0.74,0.804120969798427
1,0.75,0.7627439532612176
1,0.76,0.6579615132038232
1,0.77,0.667145680037143
1,0.78,0.6905672700939838
1,0.79,0.6526189751445923
1,0.8,0.602596649354876
1,0.81,0.538150332353048
1,0.82,0.7154011460676822
1,0.83,0.6800129644681834
1,0.84,0.70903473053682
1,0.85,0.7490230003709477
1,0.86,0.5814229514409758
1,0.87,0.5101396296530594
1,0.88,0.5443989326507745
1,0.89,0.5641058768047003
1,0.9,0.7040537633695075
1,0.91,0.812926745753816
1,0.92,0.8332186039551129
1,0.93,0.9138632665521818
1,0.94,1.1013420642404832
1,0.95,1.2875970100398821
1,0.96,1.2791837860070776
1,0.97,1.1984866930434652
1,0.98,1.126341691776095
1,0.99,1.1842960683073347
1,1.0,0.9192274828668576
1,1.01,0.8559225391743335
1,1.02,0.8179846856318941
1,1.03,0.7092735599292396
1,1.04,0.6335047268182117
1,1.05,0.7072524322357635
1,1.06,0.651972189430015
1,1.07,0.7839639690403598
1,1.08,0.9220689272620584
1,1.09,0.9739977390276285
1,1.1,0.9830177933396541
1,1.11,1.102029113960326
1,1.12,1.1626897805951084
1,1.13,1.0637773927091456
1,1.14,1.1912366757707724
1,1.15,1.2477430762548287
1,1.16,1.338483802851431
1,1.17,1.3914841329853709
1,1.18,1.4407502892845927
1,1.19,1.4618834229042128
1,1.2,1.4985407082492161
1,1.21,1.5995998233096003
1,1.22,1.4094750932247022
1,1.23,1.3409391140511255
1,1.24,1.368815957947344
1,1.25,1.3887886944045027
1,1.26,1.3017604039038746
1,1.27,1.3795787734648353
1,1.28,1.3196631940319075
1,1.29,1.3032797222754122
1,1.3,1.2366344615322995
1,1.31,1.2622241539844323
1,1.32,1.2294633496178426
1,1.33,1.1729695970199971
1,1.34,1.3143904640338908
1,1.35,1.2823695846184617
1,1.36,1.2453119103264758
1,1.37,1.2999737422552387
1,1.38,1.2458613720325744
1,1.39,1.111126536350572
1,1.4,1.0793796016928834
1,1.41,1.1568994843622595
1,1.42,1.096953031559513
1,1.43,1.238832560075098
1,1.44,1.2853527383949594
1,1.45,1.29654152393899
1,1.46,1.2570737872473559
1,1.47,1.3570394031450292
1,1.48,1.2615565048363926
1,1.49,1.1981112607912034
1,1.5,1.2244243815097644
1,1.51,1.2676302452760833
1,1.52,1.0494413806908414
1,1.53,1.0509754579730375
1,1.54,1.0797275894226541
1,1.55,0.9052071669379629
1,1.56,1.1187582137587513
1,1.57,1.2449135331258785
1,1.58,1.0992484623469463
1,1.59,1.0246451727018515
1,1.6,1.005088199241282
1,1.61,1.069442343344158
1,1.62,1.0426626314802374
1,1.63,1.2582117019494719
1,1.64,1.0716425071683706
1,1.65,1.0408701662943052
1,1.66,1.1545511122151075
1,1.67,0.9244428208668076
1,1.68,0.9302575684071669
1,1.69,0.9406251279899872
1,1.7,0.9605653289354762
1,1.71,1.1358269906686314
