parameter,alpha_continuous_N,beta_continuous_N,alpha_log10_N,beta_log10_N,beta_plot_y,alpha_ceil_N,beta_ceil_N
0.001,300.4510313778495,193.7382478202605,2.477773699182807,2.2872153676345555,10.0,301,194
0.021038076152304613,63.25526628556622,42.23887632762107,1.8010966883229929,1.6257123562301894,9.979961923847695,64,43
0.041076152304609224,44.908141294308365,30.22877095146728,1.6523250803949285,1.480420489888811,9.959923847695391,45,31
0.061114228456913826,36.64002606239192,24.782447850391357,1.563955773913634,1.394144200967134,9.939885771543086,37,25
0.08115230460921845,31.686202685512225,21.506262322069336,1.5008701959103252,1.3325649387952376,9.91984769539078,32,22
0.10119038076152305,28.299031094054747,19.25953301472438,1.451771566347295,1.2846457525918873,9.899809619238477,29,20
0.12122845691382765,25.796955807603787,17.59596457838562,1.4115684596856013,1.2454130790477698,9.879771543086171,26,18
0.1412665330661323,23.852069080963805,16.30030475503502,1.3775260584901505,1.2121957241703858,9.859733466933868,24,17
0.1613046092184369,22.284574436736392,15.254289312530489,1.3480043448820649,1.1833919789508216,9.839695390781563,23,16
0.1813426853707415,20.986593174535727,14.386837767786657,1.3219419437951252,1.157965346339662,9.819657314629257,21,15
0.2013807615230461,19.888971551352157,13.652317452776405,1.2986123265572918,1.135206378228499,9.799619238476954,20,14
0.2214188376753507,18.94507214094922,13.019913061827031,1.277496263364325,1.1146080843170545,9.779581162324648,19,14
0.2414569138276553,18.12215168686329,12.467964152246465,1.258209761235586,1.095795544927875,9.759543086172345,19,13
0.2614949899799599,17.39645776377602,11.980741046087054,1.240460827003547,1.078483681348207,9.73950501002004,18,12
0.2815330661322646,16.750286444092502,11.546508046421845,1.2240222382400319,1.0624506625427756,9.719466933867736,17,12
0.30157114228456916,16.170136935551504,11.156307524724042,1.2087136977111372,1.0475204771295032,9.69942885771543,17,12
0.3216092184368738,15.645510552700443,10.80316783728967,1.1943897398441599,1.0335511233132513,9.679390781563125,16,11
0.34164729458917836,15.168104025918998,10.48157085825721,1.180931298483421,1.0204263746275837,9.659352705410821,16,11
0.361685370741483,14.731252765081235,10.187084208348924,1.1682396813862206,1.008049896132839,9.639314629258516,15,11
0.3817234468937876,14.32953743778829,9.916101174502016,1.1562321714539796,0.9963409492478387,9.619276553106213,15,10
0.4017615230460922,13.958500117894463,9.665652932945816,1.144838754568116,0.985231196760591,9.599238476953907,14,10
0.4217995991983968,13.614435682825366,9.433270461202692,1.1339996445805602,0.9746622862699569,9.579200400801602,14,10
0.4418376753507014,13.294235971736684,9.21688131186246,1.1236633832024971,0.9645839950048124,9.559162324649298,14,10
0.461875751503006,12.995271629475967,9.014731302385405,1.1137853616323097,0.9549527864516076,9.539124248496993,13,10
0.4819138276553106,12.715301321547523,8.82532431172044,1.104326656350878,0.9457306737428816,9.51908617234469,13,9
0.5019519038076152,12.452401130880572,8.647375435183834,1.0952531022226537,0.9368843147509338,9.499048096192384,13,9
0.5219899799599198,12.204909041146504,8.47977413031114,1.086534547122699,0.9283842844187518,9.47901002004008,13,9
0.5420280561122245,11.971380839996625,8.32155492928159,1.0781442470316303,0.9202044842367908,9.458971943887775,12,9
0.5620661322645292,11.750554766639741,8.171873947930932,1.0700583709824663,0.912321658971149,9.43893386773547,12,9
0.5821042084168336,11.541322926226124,8.02998988253163,1.0622555927564858,0.9047149980852249,9.418895791583166,12,9
0.6021422845691383,11.342707992108162,7.895248515073068,1.0547167517023617,0.8973658046452978,9.39885771543086,12,8
0.6221803607214429,11.153844077821399,7.767069986335214,1.0474245690944806,0.890257218446958,9.378819639278557,12,8
0.6422184368737476,10.973960924812019,7.644938270814393,1.0403634094623266,0.8833739830442298,9.358781563126252,11,8
0.6622565130260522,10.802370747547203,7.528392417015986,1.0335190785969826,0.8767022485837709,9.338743486973947,11,8
0.6822945891783567,10.638457223984455,7.417019213516246,1.0268786516723103,0.8702294040371789,9.318705410821643,11,8
0.7023326653306614,10.481666229915792,7.310447014408988,1.0204303262486885,0.8639439337233306,9.298667334669338,11,8
0.722370741482966,10.331497999955827,7.208340513577068,1.014163295957955,0.8578352940190871,9.278629258517034,11,8
0.7424088176352706,10.187500462705446,7.110396300154343,1.0080676414732272,0.8518938069426764,9.258591182364729,11,8
0.7624468937875752,10.04926354779991,7.0163390608138,1.0021342360006966,0.8461105679124971,9.238553106212425,11,8
0.7824849699398798,9.916414301718408,6.9259183204969315,0.9963546630323948,0.8404773654741065,9.21851503006012,10,7
0.8025230460921844,9.788612680022435,6.838905633628806,0.9907211444992766,0.8349866111789964,9.198476953907814,10,7
0.822561122244489,9.66554790805657,6.755092154035429,0.9852264777852685,0.8296312781124651,9.17843887775551,10,7
0.8425991983967936,9.546935321549169,6.674286524662714,0.9798639803223718,0.8244048468211578,9.158400801603205,10,7
0.8626372745490983,9.432513614095035,6.596313038519937,0.9746274406975317,0.8193012575964802,9.138362725450902,10,7
0.8826753507014028,9.322042431025785,6.521010030590318,0.9695110753739131,0.8143148682379265,9.118324649298597,10,7
0.9027134268537075,9.215300259317427,6.448228467192126,0.9645094902702601,0.8094404165580528,9.098286573146291,10,7
0.922751503006012,9.112082571443347,6.377830704763316,0.9596176465582837,0.8046729870043191,9.078248496993988,10,7
0.9427895791583167,9.01220018783727,6.3096893945349795,0.9548308301342898,0.8000079808670099,9.058210420841682,10,7
0.9628276553106212,8.915477828184015,6.243686513252223,0.9501446243013355,0.7954410896206023,9.038172344689379,9,7
0.9828657314629259,8.821752826340429,6.17971250315096,0.9455548852650754,0.7909682710112382,9.018134268537073,9,7
1.0029038076152303,8.730873987489826,6.117665506928363,0.9410577201025327,0.7865857275576877,8.99809619238477,9,7
1.022941883767535,8.642700569297297,6.057450685550673,0.9366494669102293,0.7822898871792674,8.978058116232464,9,7
1.0429799599198395,8.55710137147734,5.998979608502416,0.9323266768779761,0.7780773857030943,8.95802004008016,9,6
1.0630180360721442,8.473953920403115,5.942169707557938,0.9280860980684325,0.7739450510360507,8.937981963927855,9,6
1.0830561122244489,8.393143737253522,5.886943786399774,0.923924660711285,0.7698898888148962,8.91794388777555,9,6
1.1030941883767535,8.314563679771299,5.833229579458898,0.9198394638454338,0.7659090693719109,8.897905811623247,9,6
1.1231322645290582,8.238113349041624,5.780959354242525,0.9158277631635702,0.7619999158739496,8.877867735470941,9,6
1.1431703406813625,8.163698553836948,5.730069552172369,0.9118869599315597,0.7581598935103814,8.857829659318638,9,6
1.1632084168336672,8.091230826042425,5.680500463602154,0.9080145908705612,0.754386599620544,8.837791583166332,9,6
1.1832464929859718,8.020626981505037,5.632195933235704,0.9042083189032192,0.7506777546644118,8.817753507014027,9,6
1.2032845691382765,7.95180872135997,5.585103092640881,0.9004659246768586,0.7470311939515096,8.797715430861723,8,6
1.2233226452905812,7.8847022694990265,5.539172116962341,0.8967852987866838,0.7434448600529197,8.777677354709418,8,6
1.2433607214428857,7.819238042372788,5.494356003287721,0.8931644346307395,0.7399167958297838,8.757639278557114,8,6
1.2633987975951904,7.755350347773761,5.450610368425845,0.8896014218360274,0.7364451380191541,8.737601202404809,8,6
1.283436873747495,7.69297710964252,5.407893264119091,0.8860944402018535,0.733028111324565,8.717563126252504,8,6
1.3034749498997995,7.632059616281753,5.3661650079409675,0.8826417541123222,0.729664022964401,8.6975250501002,8,6
1.3235130260521042,7.572542289661642,5.325388028329334,0.8792417073750365,0.7263512576361549,8.677486973947895,8,6
1.3435511022044087,7.514372473760573,5.285526722379699,0.8758927184475745,0.7230882728590733,8.657448897795591,8,6
1.3635891783567133,7.4575002401128785,5.24654732517517,0.872593276017298,0.7198735946615751,8.637410821643286,8,6
1.383627254509018,7.4018782089350275,5.20841778956306,0.8693419349035655,0.7167058135832634,8.617372745490982,8,6
1.4036653306613227,7.347461384376869,5.171107675405239,0.8661373122545364,0.7135835809643863,8.597334669338677,8,6
1.4237034068136274,7.294207002598798,5.13458804743242,0.8629780840135105,0.7105056054982986,8.577296593186372,8,6
1.4437414829659319,7.242074391511584,5.098831380923402,0.8598629816322004,0.7074706500248641,8.557258517034068,8,6
1.4637795591182363,7.191024841135671,5.0638114745106035,0.8567907890105144,0.704477528544876,8.537220440881763,8,6
1.483817635270541,7.141021483642918,5.029503369484154,0.8537603396443718,0.7015251034374559,8.517182364729459,8,6
1.5038557114228457,7.092029182237857,4.995883275029824,0.8507705139648074,0.6986122828640985,8.497144288577154,8,5
1.5238937875751504,7.044014428119074,4.962928498891911,0.8478202368531724,0.6957380183445369,8.477106212424848,8,5
1.5439318637274548,6.996945244835617,4.930617383001921,0.8449084753186301,0.692901302490956,8.457068136272545,7,5
1.5639699398797595,6.95079109941945,4.8989292436581335,0.8420342363253897,0.6901011668883076,8.43703006012024,7,5
1.5840080160320642,6.905522819734007,4.867844315880651,0.8391965647582388,0.6873366801095594,8.416991983967936,7,5
1.6040460921843687,6.861112517531602,4.837343701601795,0.836394541515947,0.6846069458557059,8.39695390781563,7,5
1.6240841683366734,6.817533516759577,4.807409321383298,0.8336272817230118,0.6819111012112419,8.376915831663325,7,5
1.6441222444889778,6.774760286697406,4.778023869380047,0.8308939330510422,0.6792483150066065,8.356877755511022,7,5
1.6641603206412825,6.732768379544752,4.74917077129548,0.8281936741418111,0.6766177862798202,8.336839679358716,7,5
1.6841983967935872,6.691534372114671,4.720834145096591,0.825525713124675,0.6740187428301897,8.316801603206413,7,5
1.7042364729458919,6.651035811316677,4.692998764277002,0.8228892862216641,0.6714504398575512,8.296763527054107,7,5
1.7242745490981966,6.611251163142057,4.665650023475057,0.8202836564340944,0.6689121586810454,8.276725450901804,7,5
1.744312625250501,6.572159764888695,4.63877390627058,0.8177081123050514,0.6664032055319173,8.256687374749498,7,5
1.7643507014028055,6.533741780385118,4.612356954998991,0.815161966752544,0.663922910415263,8.236649298597193,7,5
1.7843887775551102,6.495978157993851,4.586386242435116,0.8126445559685419,0.6614706260360513,8.21661122244489,7,5
