t,y,theory_density,kde_density
0.2,0.0,0.0,0.013033611161829743
0.2,0.005,0.00028538598862308545,0.015294304548940305
0.2,0.01,0.0011412947471021188,0.017824778229120788
0.2,0.015,0.002566978923099512,0.020641085859889143
0.2,0.02,0.0045611938284684,0.02375971630960961
0.2,0.025,0.007122198786613155,0.027197900658479896
0.2,0.03,0.01024775901626997,0.03097388176406382
0.2,0.035,0.013935148049187445,0.03510709405230695
0.2,0.04,0.018181150678477073,0.03961820313420551
0.2,0.045,0.022982066433689507,0.044528963003618374
0.2,0.05,0.02833371357798037,0.049861862673400176
0.2,0.055,0.03423143362202593,0.05563955313363619
0.2,0.06,0.04067009634867002,0.061884067775159826
0.2,0.065,0.04764410534160488,0.06861587272581056
0.2,0.07,0.055147404010724654,0.07585280545706646
0.2,0.075,0.06317348210613417,0.08360897812523392
0.2,0.08,0.07171538271216304,0.09189373431103302
0.2,0.085,0.08076570971209193,0.10071075255397682
0.2,0.09,0.09031663571370911,0.11005738649407525
0.2,0.095,0.10035991042519542,0.11992431947836242
0.2,0.1,0.11088686947027261,0.13029559189981116
0.2,0.105,0.12188844363098028,0.14114903375805096
0.2,0.11,0.13335516850590495,0.15245710498130616
0.2,0.115,0.14527719457115754,0.16418811433296557
0.2,0.12,0.15764429763090038,0.17630775683854072
0.2,0.125,0.1704458896437204,0.1887808821858401
0.2,0.13,0.18367102991071224,0.20157338482960488
0.2,0.135,0.19730843661066813,0.2146540925189812
0.2,0.14,0.2113464986673634,0.22799652503154366
0.2,0.145,0.22577328793354517,0.24158039969461997
0.2,0.15,0.24057657167583743,0.25539277464902205
0.2,0.155,0.25574382534444956,0.2694287437698911
0.2,0.16,0.27126224561124634,0.2836916269240527
0.2,0.165,0.28711876365944483,0.2981926333807988
0.2,0.17,0.30330005870792953,0.31295001184147314
0.2,0.17500000000000002,0.319792571752941,0.32798773470947834
0.2,0.18,0.33658251950966356,0.34333379406515335
0.2,0.185,0.3536559085360715,0.3590182100143954
0.2,0.19,0.3709985495211852,0.375070867074401
0.2,0.195,0.38859607171980803,0.39151930038680827
0.2,0.2,0.4064339375156556,0.4083865511010482
0.2,0.20500000000000002,0.42449745709473047,0.42568920039868335
0.2,0.21,0.44277180321073856,0.44343567613327745
0.2,0.215,0.4612420260243048,0.4616249071016848
0.2,0.22,0.479893067997746,0.4802453797445224
0.2,0.225,0.49870977882720147,0.4992746325296231
0.2,0.23,0.5176769303939298,0.5186792058159698
0.2,0.23500000000000001,0.5367792317167146,0.5384150503541588
0.2,0.24,0.5560013438873727,0.5584283857335387
0.2,0.245,0.5753278949715229,0.5786569903202706
0.2,0.25,0.5947434948569125,0.5990318952864545
0.2,0.255,0.6142327500317757,0.619479445653223
0.2,0.26,0.6337802782759187,0.6399236793238247
0.2,0.265,0.6533707232474283,0.660288959704453
0.2,0.27,0.6729887689481777,0.6805027782701214
0.2,0.275,0.6926191540515693,0.7004986209343171
0.2,0.28,0.7122466860762307,0.7202187681524667
0.2,0.28500000000000003,0.7318562553897364,0.7396168763945945
0.2,0.29,0.7514328490267427,0.7586601720424814
0.2,0.295,0.7709615643062774,0.7773310825282552
0.2,0.3,0.7904276222333311,0.795628138102534
0.2,0.305,0.8098163806702706,0.8135660044524355
0.2,0.31,0.829113347264026,0.8311745530298711
0.2,0.315,0.8483041921154347,0.8484969412977158
0.2,0.32,0.867374760177567,0.8655867549828905
0.2,0.325,0.886311083370338,0.8825043516430607
0.2,0.33,0.9050993923991926,0.8993126297848231
0.2,0.335,0.9237261282661063,0.9160725195093389
0.2,0.34,0.9421779534617272,0.9328385385647873
0.2,0.34500000000000003,0.9604417628279265,0.9496547731083074
0.2,0.35000000000000003,0.9785046940806034,0.9665516203816745
0.2,0.355,0.9963541379831198,0.98354357062241
0.2,0.36,1.01397774816128,1.0006282128596484
0.2,0.365,1.0313634505513483,1.0177865336595229
0.2,0.37,1.048499452473144,1.0349844529296077
0.2,0.375,1.0653742513208366,1.0521754218644375
0.2,0.38,1.0819766428646496,1.06930380978974
0.2,0.385,1.0982957291572288,1.0863087410299204
0.2,0.39,1.114320926039069,1.1031280173427813
0.2,0.395,1.130041970237933,1.119701777591927
0.2,0.4,1.1454489260578098,1.1359755999816288
0.2,0.405,1.160532191653551,1.1519028341913713
0.2,0.41000000000000003,1.175282504887893,1.1674460486044
0.2,0.41500000000000004,1.1896909487681897,1.1825775777909293
0.2,0.42,1.2037489564607469,1.1972792447400078
0.2,0.425,1.2174483158812208,1.2115414011713217
0.2,0.43,1.2307811738601617,1.2253614718690427
0.2,0.435,1.2437400398833185,1.2387422041966956
0.2,0.44,1.2563177894068986,1.2516898147657969
0.2,0.445,1.2685076667485506,1.2642121977072234
0.2,0.45,1.2803032875553806,1.2763173207724436
0.2,0.455,1.29169864085085,1.2880118942024703
0.2,0.46,1.3026880906629625,1.2993003592119903
0.2,0.465,1.3132663772366486,1.310184212061162
0.2,0.47000000000000003,1.3234286178337886,1.3206616575000687
0.2,0.47500000000000003,1.3331703071248269,1.330727571076904
0.2,0.48,1.3424873171763732,1.3403737410746595
0.2,0.485,1.3513758970397627,1.349589354783998
0.2,0.49,1.359832671945903,1.3583616879240985
0.2,0.495,1.3678546421122697,1.3666769488957151
0.2,0.5,1.3754391811683262,1.374521221270486
0.2,0.505,1.3825840342060558,1.3818814399454542
0.2,0.51,1.3892873154627183,1.388746331088359
0.2,0.515,1.395547505643338,1.395107245897642
0.2,0.52,1.4013634488907905,1.4009588251992617
0.2,0.525,1.4067343494117466,1.406299446583751
0.2,0.53,1.4116597677670408,1.4111314270590598
0.2,0.535,1.416139616835378,1.4154609793202306
0.2,0.54,1.4201741574596154,1.4192979447866776
0.2,0.545,1.4237639937851148,1.4226553471925416
0.2,0.55,1.4269100682999507,1.425548822927179
0.2,0.555,1.4296136565870383,1.4279959861397895
0.2,0.56,1.4318763617984316,1.4300157775528612
0.2,0.5650000000000001,1.4337001088623182,1.4316278279972665
0.2,0.5700000000000001,1.4350871384333892,1.4328518449622512
0.2,0.5750000000000001,1.4360400005974783,1.4337070083462002
