panel,t,x,a,y,theory_density,kde_density
1,1.0,0.5,1.8,0.1728,0.26581662459537836,0.2677089861105408
1,1.0,0.5,1.8,0.1746,0.2684932147715285,0.270298152055085
1,1.0,0.5,1.8,0.1764,0.2711669577477448,0.27288090723730063
1,1.0,0.5,1.8,0.1782,0.2738378253639596,0.2754572231929152
1,1.0,0.5,1.8,0.18,0.2765057894963512,0.2780270787193181
1,1.0,0.5,1.8,0.1818,0.27917082205769084,0.2805904595139546
1,1.0,0.5,1.8,0.18359999999999999,0.28183289499768965,0.2831473578426554
1,1.0,0.5,1.8,0.18539999999999998,0.28449198030334444,0.2856977722409885
1,1.0,0.5,1.8,0.1872,0.28714804999928273,0.28824170725162135
1,1.0,0.5,1.8,0.189,0.2898010761481075,0.29077917320037355
1,1.0,0.5,1.8,0.1908,0.29245103085074076,0.2933101860134304
1,1.0,0.5,1.8,0.1926,0.2950978862467668,0.2958347670778743
1,1.0,0.5,1.8,0.1944,0.2977416145147749,0.2983529431474376
1,1.0,0.5,1.8,0.19619999999999999,0.3003821878727001,0.30086474629496374
1,1.0,0.5,1.8,0.19799999999999998,0.3030195785781653,0.3033702139128015
1,1.0,0.5,1.8,0.1998,0.3056537589288205,0.3058693887619269
1,1.0,0.5,1.8,0.2016,0.30828470126268326,0.30836231907021755
1,1.0,0.5,1.8,0.2034,0.31091237795847615,0.3108490586799169
1,1.0,0.5,1.8,0.2052,0.31353676143596604,0.31332966724388184
1,1.0,0.5,1.8,0.207,0.3161578241563007,0.3158042104698552
1,1.0,0.5,1.8,0.20879999999999999,0.3187755386223452,0.3182727604114875
1,1.0,0.5,1.8,0.21059999999999998,0.32138987737901814,0.3207353958045082
1,1.0,0.5,1.8,0.2124,0.324000813013626,0.32319220244597485
1,1.0,0.5,1.8,0.2142,0.3266083181561975,0.32564327361411755
1,1.0,0.5,1.8,0.216,0.3292123654798173,0.32808871052591415
1,1.0,0.5,1.8,0.2178,0.3318129277009586,0.3305286228291351
1,1.0,0.5,1.8,0.2196,0.33440997757981394,0.3329631291252159
1,1.0,0.5,1.8,0.22139999999999999,0.3370034879206276,0.33539235751894214
1,1.0,0.5,1.8,0.22319999999999998,0.3395934315720251,0.33781644619067314
