panel,t,a,y,theory_density,kde_density
1,0.2,2.0,0.41200000000000003,1.3477525892060371,1.291382350932426
1,0.2,2.0,0.41400000000000003,1.3487133729867642,1.2930277762307638
1,0.2,2.0,0.41600000000000004,1.3496163506949395,1.2947053122223025
1,0.2,2.0,0.418,1.3504617076620153,1.2964125286541213
1,0.2,2.0,0.42,1.351249633050095,1.2981466211316075
1,0.2,2.0,0.422,1.351980319817114,1.2999044182906083
1,0.2,2.0,0.424,1.3526539646817142,1.301682391314882
1,0.2,2.0,0.426,1.3532707680878147,1.3034766657815753
1,0.2,2.0,0.428,1.3538309341688846,1.3052830357956542
1,0.2,2.0,0.43,1.3543346707119281,1.3070969803531631
1,0.2,2.0,0.432,1.3547821891211804,1.3089136818526572
1,0.2,2.0,0.434,1.355173704381531,1.310728046655744
1,0.2,2.0,0.436,1.3555094350216716,1.312534727579836
1,0.2,2.0,0.438,1.3557896030769783,1.3143281481910931
1,0.2,2.0,0.44,1.3560144340521378,1.3161025287519597
1,0.2,2.0,0.442,1.3561841568835165,1.3178519136661084
1,0.2,2.0,0.444,1.3562990039012877,1.3195702002548253
1,0.2,2.0,0.446,1.3563592107913158,1.3212511686915478
1,0.2,2.0,0.448,1.3563650165568057,1.322888512916181
1,0.2,2.0,0.45,1.3563166634797303,1.3244758723483345
1,0.2,2.0,0.452,1.35621439708203,1.326006864216648
1,0.2,2.0,0.454,1.3560584660866026,1.3274751163223357
1,0.2,2.0,0.456,1.3558491223780846,1.3288743000561225
1,0.2,2.0,0.458,1.3555866209634277,1.3301981634907374
1,0.2,2.0,0.46,1.3552712199322856,1.3314405643740896
1,0.2,2.0,0.462,1.3549031804172047,1.3325955028524248
1,0.2,2.0,0.464,1.3544827665536399,1.3336571537563793
1,0.2,2.0,0.466,1.354010245439787,1.3346198982871151
1,0.2,2.0,0.468,1.3534858870962552,1.3354783549431624
1,0.2,2.0,0.47000000000000003,1.3529099644255635,1.3362274095323736
1,0.2,2.0,0.47200000000000003,1.3522827531714932,1.3368622441155693
1,0.2,2.0,0.47400000000000003,1.3516045318782797,1.3373783647317599
1,0.2,2.0,0.47600000000000003,1.3508755818496712,1.3377716277556306
1,0.2,2.0,0.47800000000000004,1.350096187107836,1.3380382647401994
1,0.2,2.0,0.48,1.3492666343521518,1.338174905598138
1,0.2,2.0,0.482,1.3483872129178636,1.338178599976369
1,0.2,2.0,0.484,1.3474582147346217,1.3380468366795801
1,0.2,2.0,0.486,1.346479934284915,1.3377775609995006
1,0.2,2.0,0.488,1.3454526685623884,1.3373691898090714
1,0.2,2.0,0.49,1.3443767170300711,1.336820624283338
1,0.2,2.0,0.492,1.3432523815785045,1.3361312601132989
1,0.2,2.0,0.494,1.342079966483786,1.3353009950846264
1,0.2,2.0,0.496,1.3408597783655323,1.334330233901029
1,0.2,2.0,0.498,1.339592126144769,1.3332198901414332
1,0.2,2.0,0.5,1.3382773210017511,1.3319713852528492
1,0.2,2.0,0.502,1.3369156763337215,1.3305866444948728
1,0.2,2.0,0.504,1.335507507712617,1.3290680897692693
1,0.2,2.0,0.506,1.3340531328427199,1.3274186292879846
1,0.2,2.0,0.508,1.3325528715182713,1.3256416440551024
1,0.2,2.0,0.51,1.331007045581044,1.3237409711635668
1,0.2,2.0,0.512,1.3294159788778852,1.3217208839341723
1,0.2,2.0,0.514,1.3277799972182376,1.319586068953958
1,0.2,2.0,0.516,1.3260994283316352,1.3173416001015283
1,0.2,2.0,0.518,1.324374601825192,1.3149929096789137
1,0.2,2.0,0.52,1.3226058491410824,1.3125457568025332
1,0.2,2.0,0.522,1.3207935035140181,1.3100061932381335
1,0.2,2.0,0.524,1.3189378999287358,1.307380526897799
1,0.2,2.0,0.526,1.3170393750774898,1.3046752832478838
1,0.2,2.0,0.528,1.315098267317565,1.301897164907126
1,0.2,2.0,0.53,1.3131149166288123,1.299053009741772
1,0.2,2.0,0.532,1.3110896645712111,1.2961497477891502
1,0.2,2.0,0.534,1.3090228542424707,1.2931943573629556
1,0.2,2.0,0.536,1.3069148302356621,1.290193820710771
1,0.2,2.0,0.538,1.3047659385969097,1.287155079607781
1,0.2,2.0,0.54,1.3025765267831195,1.2840849912790426
1,0.2,2.0,0.542,1.300346943619777,1.2809902850457293
1,0.2,2.0,0.544,1.2980775392587987,1.2778775200895462
1,0.2,2.0,0.546,1.2957686651364562,1.2747530447212636
1,0.2,2.0,0.548,1.293420673931377,1.271622957527498
1,0.2,2.0,0.55,1.2910339195226128,1.2684930707509559
1,0.2,2.0,0.552,1.2886087569478102,1.2653688762364446
1,0.2,2.0,0.554,1.2861455423614536,1.2622555142469332
1,0.2,2.0,0.556,1.2836446329932159,1.259157745420695
1,0.2,2.0,0.558,1.2811063871064032,1.2560799261045834
1,0.2,2.0,0.56,1.2785311639565096,1.2530259872579481
1,0.2,2.0,0.562,1.275919323749878,1.2499994170786677
1,0.2,2.0,0.5640000000000001,1.2732712276024845,1.24700324745817
1,0.2,2.0,0.5660000000000001,1.270587237498835,1.2440400443253605
1,0.2,2.0,0.5680000000000001,1.2678677162509961,1.2411119018926309
1,0.2,2.0,0.5700000000000001,1.2651130274577544,1.238220440770177
1,0.2,2.0,0.5720000000000001,1.26232353546391,1.235366809868773
1,0.2,2.0,0.5740000000000001,1.259499605319715,1.2325516919672992
1,0.2,2.0,0.5760000000000001,1.2566416027404559,1.229775312779222
1,0.2,2.0,0.578,1.2537498940661875,1.22703745331414
1,0.2,2.0,0.58,1.2508248462216227,1.2243374652952705
1,0.2,2.0,0.582,1.2478668266761825,1.221674289363917
1,0.2,2.0,0.584,1.2448762034042118,1.2190464757760364
1,0.2,2.0,0.586,1.241853344845362,1.216452207275872
1,0.2,2.0,0.588,1.238798619865153,1.2138893238168849
1,0.2,2.0,0.59,1.235712397715709,1.2113553487908253
1,0.2,2.0,0.592,1.2325950479966792,1.2088475164226504
1,0.2,2.0,0.594,1.2294469406163473,1.2063627999908924
1,0.2,2.0,0.596,1.2262684457529311,1.2038979405412151
1,0.2,2.0,0.598,1.2230599338160788,1.2014494757733833
1,0.2,2.0,0.6,1.2198217754085667,1.1990137688002194
1,0.2,2.0,0.602,1.2165543412881987,1.1965870364988347
1,0.2,2.0,0.604,1.2132580023299167,1.1941653772009855
1,0.2,2.0,0.606,1.2099331294881248,1.191744797498324
1,0.2,2.0,0.608,1.2065800937592261,1.1893212379705167
1,0.2,2.0,0.61,1.203199266144383,1.1868905976778166
1,0.2,2.0,0.612,1.1997910176125017,1.1844487572945213
1,0.2,2.0,0.614,1.196355719063445,1.1819916007952669
1,0.2,2.0,0.616,1.1928937412914746,1.1795150356406676
1,0.2,2.0,0.618,1.1894054549489335,1.177015011442913
1,0.2,2.0,0.62,1.1858912305101632,1.1744875371238606
1,0.2,2.0,0.622,1.182351438235667,1.1719286966078513
1,0.2,2.0,0.624,1.178786448136519,1.1693346631181802
1,0.2,2.0,0.626,1.1751966299390193,1.1667017121693284
1,0.2,2.0,0.628,1.1715823530496101,1.1640262333665603
1,0.2,2.0,0.63,1.1679439865200407,1.1613047411394888
1,0.2,2.0,0.632,1.1642818990127952,1.1585338845472692
1,0.2,2.0,0.634,1.160596458766786,1.1557104562990375
1,0.2,2.0,0.636,1.1568880335633072,1.1528314011354652
1,0.2,2.0,0.638,1.1531569906922639,1.1498938237140404
1,0.2,2.0,0.64,1.1494036969186676,1.1468949961345818
1,0.2,2.0,0.642,1.1456285184494133,1.143832365229899
1,0.2,2.0,0.644,1.1418318209003286,1.140703559732919
1,0.2,2.0,0.646,1.1380139692635065,1.1375063974134068
1,0.2,2.0,0.648,1.1341753278749231,1.1342388922578046
1,0.2,2.0,0.65,1.1303162603823382,1.130899261743253
1,0.2,2.0,0.652,1.1264371297134876,1.1274859342334174
1,0.2,2.0,0.654,1.1225382980445675,1.1239975564990177
1,0.2,2.0,0.656,1.1186201267690101,1.1204330013416564
1,0.2,2.0,0.658,1.1146829764665576,1.1167913752748138
1,0.2,2.0,0.66,1.110727206872636,1.1130720261931106
1,0.2,2.0,0.662,1.1067531768480272,1.109274550938928
1,0.2,2.0,0.664,1.1027612443488481,1.1053988026561663
1,0.2,2.0,0.666,1.098751766396833,1.1014448978038418
1,0.2,2.0,0.668,1.0947250990499238,1.0974132226884774
1,0.2,2.0,0.67,1.0906815973731725,1.093304439363364
1,0.2,2.0,0.672,1.0866216154099522,1.0891194907360109
1,0.2,2.0,0.674,1.082545506153486,1.0848596047215306
1,0.2,2.0,0.676,1.0784536215186855,1.0805262972804341
1,0.2,2.0,0.678,1.074346312314315,1.0761213741834061
1,0.2,2.0,0.68,1.0702239282154682,1.0716469313537937
1,0.2,2.0,0.682,1.0660868177363663,1.0671053536499586
1,0.2,2.0,0.684,1.061935328203488,1.0624993119645494
1,0.2,2.0,0.686,1.0577698057290068,1.0578317585352597
1,0.2,2.0,0.6880000000000001,1.0535905951845717,1.0531059203824154
1,0.2,2.0,0.6900000000000001,1.0493980401754026,1.048325290810569
1,0.2,2.0,0.6920000000000001,1.0451924830147206,1.0434936189360802
1,0.2,2.0,0.6940000000000001,1.0409742646985032,1.0386148972272817
1,0.2,2.0,0.6960000000000001,1.0367437248805773,1.0336933470705014
1,0.2,2.0,0.6980000000000001,1.0325012018480393,1.028733402400736
1,0.2,2.0,0.7000000000000001,1.0282470324970097,1.0237396914619175
1,0.2,2.0,0.7020000000000001,1.023981552308721,1.0187170167865234
1,0.2,2.0,0.704,1.0197050953259452,1.0136703335080208
1,0.2,2.0,0.706,1.015417994129755,1.0086047261413928
1,0.2,2.0,0.708,1.0111205798166194,1.0035253839872469
1,0.2,2.0,0.71,1.0068131819758452,0.9984375753321865
1,0.2,2.0,0.712,1.0024961286673497,0.9933466206332879
1,0.2,2.0,0.714,0.9981697463997761,0.9882578648865283
1,0.2,2.0,0.716,0.9938343601089514,0.9831766493883135
1,0.2,2.0,0.718,0.9894902931366809,0.9781082831054024
1,0.2,2.0,0.72,0.9851378672098898,0.9730580138719894
1,0.2,2.0,0.722,0.9807774024200975,0.9680309996330152
1,0.2,2.0,0.724,0.9764092172032472,0.9630322799506352
1,0.2,2.0,0.726,0.9720336283198647,0.9580667479858461
1,0.2,2.0,0.728,0.967650950835571,0.9531391231603694
1,0.2,2.0,0.73,0.9632614981019315,0.9482539246943975
1,0.2,2.0,0.732,0.9588655817376519,0.9434154462054716
1,0.2,2.0,0.734,0.9544635116101153,0.9386277315408743
1,0.2,2.0,0.736,0.9500555958172672,0.9338945520029862
1,0.2,2.0,0.738,0.945642140669837,0.9292193851126583
1,0.2,2.0,0.74,0.9412234506739124,0.9246053950411349
1,0.2,2.0,0.742,0.9367998285138488,0.9200554148260502
1,0.2,2.0,0.744,0.9323715750355269,0.9155719304726926
1,0.2,2.0,0.746,0.9279389892299542,0.9111570670268788
1,0.2,2.0,0.748,0.9235023682172037,0.906812576692278
1,0.2,2.0,0.75,0.9190620072307037,0.902539829051641
1,0.2,2.0,0.752,0.9146181996018643,0.8983398034390029
1,0.2,2.0,0.754,0.9101712367450436,0.8942130834982789
1,0.2,2.0,0.756,0.9057214081428651,0.8901598539531341
1,0.2,2.0,0.758,0.9012690013318649,0.8861798996026702
1,0.2,2.0,0.76,0.8968143018884869,0.8822726065487423
1,0.2,2.0,0.762,0.8923575934154141,0.8784369656517427
1,0.2,2.0,0.764,0.88789915752824,0.8746715782038758
1,0.2,2.0,0.766,0.8834392738424792,0.8709746638011046
1,0.2,2.0,0.768,0.8789782199609169,0.8673440703873248
1,0.2,2.0,0.77,0.8745162714612893,0.8637772864367623
1,0.2,2.0,0.772,0.8700537018843078,0.8602714552327293
1,0.2,2.0,0.774,0.8655907827220135,0.856823391192618
1,0.2,2.0,0.776,0.8611277834064686,0.8534295981802841
1,0.2,2.0,0.778,0.8566649712987765,0.850086289737439
1,0.2,2.0,0.78,0.852202611678442,0.8467894111555726
1,0.2,2.0,0.782,0.8477409677330513,0.8435346632986506
1,0.2,2.0,0.784,0.843280300548297,0.8403175280751555
1,0.2,2.0,0.786,0.838820869098315,0.8371332954449738
1,0.2,2.0,0.788,0.8343629302363628,0.8339770918334407
1,0.2,2.0,0.79,0.8299067386858171,0.8308439098103305
1,0.2,2.0,0.792,0.8254525470314982,0.8277286388772166
1,0.2,2.0,0.794,0.8210006057113175,0.8246260971916166
1,0.2,2.0,0.796,0.8165511630082495,0.8215310640413271
1,0.2,2.0,0.798,0.8121044650426211,0.8184383128679705
1,0.2,2.0,0.8,0.807660755764723,0.8153426446244283
1,0.2,2.0,0.802,0.8032202769477382,0.8122389212380028
1,0.2,2.0,0.804,0.7987832681809894,0.8091220989391437
1,0.2,2.0,0.806,0.7943499668634947,0.8059872612054252
1,0.2,2.0,0.808,0.7899206081978429,0.8028296510622236
1,0.2,2.0,0.81,0.7854954251843806,0.79964470247573
1,0.2,2.0,0.812,0.7810746486157019,0.7964280705703629
1,0.2,2.0,0.8140000000000001,0.7766585070714547,0.7931756604025331
1,0.2,2.0,0.8160000000000001,0.7722472269134492,0.7898836540252208
1,0.2,2.0,0.8180000000000001,0.7678410322810704,0.7865485355837828
1,0.2,2.0,0.8200000000000001,0.763440145086996,0.7831671141930603
1,0.2,2.0,0.8220000000000001,0.7590447850132138,0.7797365443584453
1,0.2,2.0,0.8240000000000001,0.7546551695073367,0.7762543437203723
1,0.2,2.0,0.8260000000000001,0.7502715137792191,0.7727184079212288
1,0.2,2.0,0.8280000000000001,0.7458940307978614,0.7691270224171448
1,0.2,2.0,0.8300000000000001,0.7415229312886177,0.7654788710832853
1,0.2,2.0,0.8320000000000001,0.737158423730683,0.7617730414905163
1,0.2,2.0,0.834,0.7328007143548787,0.7580090267631547
1,0.2,2.0,0.836,0.7284500071417215,0.7541867239613075
1,0.2,2.0,0.838,0.7241065038197766,0.7503064289671564
1,0.2,2.0,0.84,0.7197704038642946,0.7463688278914803
1,0.2,2.0,0.842,0.71544190449613,0.7423749850545865
1,0.2,2.0,0.844,0.711121200680935,0.7383263276338796
1,0.2,2.0,0.846,0.7068084851286355,0.7342246271082129
1,0.2,2.0,0.848,0.7025039482931714,0.7300719776662057
1,0.2,2.0,0.85,0.6982077783725201,0.7258707717813794
1,0.2,2.0,0.852,0.6939201613089796,0.7216236731908887
1,0.2,2.0,0.854,0.6896412807897248,0.7173335875460878
1,0.2,2.0,0.856,0.6853713182476262,0.7130036310316751
1,0.2,2.0,0.858,0.6811104528623314,0.7086370972756497
1,0.2,2.0,0.86,0.6768588615616061,0.7042374228937884
